74DA38F20E92	新竹縣縣立錦屏國小	[313]新竹縣尖石鄉錦屏村十鄰116號
74DA38F20E90	新竹縣縣立玉峰國小	[313]新竹縣尖石鄉玉峰村五鄰59號
74DA38F20EAE	新竹縣縣立石磊國小	[313]新竹縣尖石鄉玉峰村十鄰49號
74DA38F20EAC	新竹縣縣立秀巒國小	[313]新竹縣尖石鄉秀巒村四鄰19號
74DA38F20EA8	新竹縣縣立新光國小	[313]新竹縣尖石鄉秀巒村八鄰17號
74DA38F20EB4	新竹縣縣立五峰國小	[311]新竹縣五峰鄉大隘村六鄰123號
74DA38F20EA0	新竹縣縣立桃山國小	[311]新竹縣五峰鄉桃山村15鄰243號
74DA38F20E9E	新竹縣縣立花園國小	[311]新竹縣五峰鄉花園村八鄰174號
74DA38F20E9C	新竹縣縣立博愛國小	[302]新竹縣竹北市光明六路72號
74DA38F20E9A	新竹縣縣立上館國小	[310]新竹縣竹東鎮中豐路二段399號
74DA38F20EAA	新竹縣縣立光明國小	[302]新竹縣竹北市光明九路65號
74DA38F20EB8	新竹縣縣立松林國小	[304]新竹縣新豐鄉松林街99號
74DA38F21036	新竹縣縣立十興國小	[302]新竹縣竹北市莊敬北路66號
74DA38F21038	新竹縣縣立興隆國小	[302]新竹縣竹北市文興路88號
74DA38F2103A	新竹縣縣立東興國小	[302]新竹縣竹北市嘉豐十一路二段100號
74DA38F21198	新竹縣縣立安興國小	[302]新竹縣竹北市十興路一段435號
74DA38F2118A	新竹縣義興分校	[313]新竹縣尖石鄉義興村馬胎八鄰五十一號
74DA38F21188	新竹縣田埔分校	[313]新竹縣尖石鄉秀巒村田埔一鄰5號
74DA38F21184	新竹縣竹林分校	[311]新竹縣五峰鄉竹林村羅山15號
74DA38F21186	新竹縣山湖分校	[308]新竹縣寶山鄉山湖村山湖路420號
74DA38F20948	新竹縣縣立竹東國中	[310]新竹縣竹東鎮公園路8號
74DA38F20942	新竹縣縣立二重國中	[310]新竹縣竹東鎮二重里學府路132號
74DA38F2093E	新竹縣縣立員東國中	[310]新竹縣竹東鎮東峰路521號
74DA38F2094A	新竹縣縣立關西國中	[306]新竹縣關西鎮北斗里北門口41號
74DA38F20960	新竹縣縣立石光國中	[306]新竹縣關西鎮石光里308巷44號
74DA38F2095C	新竹縣縣立富光國中	[306]新竹縣關西鎮東光里十六張49號
74DA38F20950	新竹縣縣立新埔國中	[305]新竹縣新埔鎮中正路792號
74DA38F20954	新竹縣縣立照門國中	[305]新竹縣新埔鎮照門里照鏡7號
74DA38F2095E	新竹縣縣立竹北國中	[302]新竹縣竹北市中正西路154號
74DA38F20952	新竹縣縣立鳳岡國中	[302]新竹縣竹北市大義里鳳岡路三段100號
74DA38F20938	新竹縣縣立芎林國中	[307]新竹縣芎林鄉新鳳村74號
74DA38F20944	新竹縣縣立新豐國中	[304]新竹縣新豐鄉成德街36號
74DA38F2094E	新竹縣縣立精華國中	[304]新竹縣新豐鄉後湖村八鄰166號
74DA38F20940	新竹縣縣立橫山國中	[312]新竹縣橫山鄉中豐路二段415號
74DA38F20878	新竹縣縣立華山國中	[312]新竹縣橫山鄉橫山街一段29號
74DA38F20946	新竹縣縣立寶山國中	[308]新竹縣寶山鄉三峰路二段600號
74DA38F2095A	新竹縣縣立寶山國中莒光分校	[308]新竹縣寶山鄉新湖路一段386號
74DA38F2094C	新竹縣縣立北埔國中	[314]新竹縣北埔鄉埔尾村141號
74DA38F2093C	新竹縣縣立峨眉國中	[315]新竹縣峨眉鄉峨眉街十鄰54號
74DA38F2092E	新竹縣縣立新湖國中	[303]新竹縣湖口鄉新湖路200號
74DA38F20F72	新竹縣縣立中正國中	[303]新竹縣湖口鄉仁興路135號
74DA38F20F74	新竹縣縣立五峰國中	[311]新竹縣五峰鄉大隘村六鄰113號
74DA38F21028	新竹縣縣立尖石國中	[313]新竹縣尖石鄉嘉樂村三鄰八十號
74DA38F2101C	新竹縣縣立忠孝國中	[304]新竹縣新豐鄉員山村孝六街1號
74DA38F2102C	新竹縣縣立博愛國中	[302]新竹縣竹北市縣政十三路81號
74DA38F21030	新竹縣縣立仁愛國中	[302]新竹縣竹北市三民路239號
74DA38F2102E	新竹縣縣立自強國中	[310]新竹縣竹東鎮自強路169號
74DA38F20F76	新竹縣縣立成功國中	[302]新竹縣竹北市成功八路99號
74DA38F21020	新竹縣縣立東興國中	[302]新竹縣竹北市嘉豐六路一段101號
74DA38F2101E	新竹縣縣立六家高級中學附設國中	[302]新竹縣竹北市嘉興路356號
74DA38F20C48	新竹縣縣立湖口高中附設國中	[303]新竹縣湖口鄉中正路二段263巷21號
74DA38F208DE	宜蘭縣縣立中山國小	[260]宜蘭縣宜蘭市崇聖街4號
74DA38F208C8	宜蘭縣縣立宜蘭國小	[260]宜蘭縣宜蘭市崇聖街2號
74DA38F208CA	宜蘭縣縣立力行國小	[260]宜蘭縣宜蘭市力行路152號
74DA38F208E4	宜蘭縣縣立新生國小	[260]宜蘭縣宜蘭市大坡路一段100號
74DA38F20844	宜蘭縣縣立光復國小	[260]宜蘭縣宜蘭市泰山路60號
74DA38F208DA	宜蘭縣縣立育才國小	[260]宜蘭縣宜蘭市進士路8號
74DA38F20846	宜蘭縣縣立凱旋國小	[260]宜蘭縣宜蘭市凱旋路130號
74DA38F208C0	宜蘭縣縣立黎明國小	[260]宜蘭縣宜蘭市校舍路1號
74DA38F208D2	宜蘭縣縣立南屏國小	[260]宜蘭縣宜蘭市泰山路98號
74DA38F208CC	宜蘭縣縣立羅東國小	[265]宜蘭縣羅東鎮民族路1號
74DA38F208D0	宜蘭縣縣立成功國小	[265]宜蘭縣羅東鎮興東南路100號
74DA38F208CE	宜蘭縣縣立公正國小	[265]宜蘭縣羅東鎮公正路199號
74DA38F208C4	宜蘭縣縣立北成國小	[265]宜蘭縣羅東鎮北成路一段125號
74DA38F208E2	宜蘭縣縣立竹林國小	[265]宜蘭縣羅東鎮復興路二段128號
74DA38F208C2	宜蘭縣縣立蘇澳國小	[270]宜蘭縣蘇澳鎮中山路一段366號
74DA38F208BE	宜蘭縣縣立馬賽國小	[270]宜蘭縣蘇澳鎮永榮里大同路108號
74DA38F208D6	宜蘭縣縣立蓬萊國小	[270]宜蘭縣蘇澳鎮南澳路85號
74DA38F208D4	宜蘭縣縣立士敏國小	[270]宜蘭縣蘇澳鎮光明路8號
74DA38F208D8	宜蘭縣縣立永樂國小	[270]宜蘭縣蘇澳鎮永樂路1號
74DA38F208E0	宜蘭縣縣立南安國小	[270]宜蘭縣蘇澳鎮南建里學府路122號
74DA38F20826	宜蘭縣縣立岳明國小	[270]宜蘭縣蘇澳鎮嶺腳路140號
74DA38F20818	宜蘭縣縣立育英國小	[270]宜蘭縣蘇澳鎮褔德路134號
74DA38F2096E	宜蘭縣縣立頭城國小	[261]宜蘭縣頭城鎮開蘭路282號
74DA38F20822	宜蘭縣縣立竹安國小	[261]宜蘭縣頭城鎮竹安里頭濱路一段601號
74DA38F2083C	宜蘭縣縣立二城國小	[261]宜蘭縣頭城鎮青雲路二段200號
74DA38F2083E	宜蘭縣縣立大溪國小	[261]宜蘭縣頭城鎮濱海路4段250號
74DA38F2082E	宜蘭縣縣立大里國小	[261]宜蘭縣頭城鎮濱海路七段65號
74DA38F20834	宜蘭縣縣立梗枋國小	[261]宜蘭縣頭城鎮更新里59號
74DA38F20830	宜蘭縣縣立礁溪國小	[262]宜蘭縣礁溪鄉大忠村礁溪路四段135號
74DA38F2081C	宜蘭縣縣立四結國小	[262]宜蘭縣礁溪鄉吳沙村育英路46號
74DA38F2082C	宜蘭縣縣立龍潭國小	[262]宜蘭縣礁溪鄉龍潭村育龍路71號
74DA38F20824	宜蘭縣縣立玉田國小	[262]宜蘭縣礁溪鄉茅埔路24號
74DA38F2083A	宜蘭縣縣立三民國小	[262]宜蘭縣礁溪鄉三民村十六結路100號
74DA38F20828	宜蘭縣縣立員山國小	[264]宜蘭縣員山鄉員山村復興路39號
74DA38F2084A	宜蘭縣縣立深溝國小	[264]宜蘭縣員山鄉深溝村惠民路266號
74DA38F20848	宜蘭縣縣立七賢國小	[264]宜蘭縣員山鄉浮洲路30號
74DA38F2084E	宜蘭縣縣立同樂國小	[264]宜蘭縣員山鄉同樂村新城路84之4號
74DA38F20836	宜蘭縣縣立湖山國小	[264]宜蘭縣員山鄉枕山村坡城路54號
74DA38F20838	宜蘭縣縣立大湖國小	[264]宜蘭縣員山鄉湖東村蜊埤路55號
74DA38F20832	宜蘭縣縣立內城國(中)小	[264]宜蘭縣員山鄉內城村內城路545號
74DA38F20900	宜蘭縣縣立壯圍國小	[263]宜蘭縣壯圍鄉吉祥村壯五路55號
74DA38F208B6	宜蘭縣縣立古亭國小	[263]宜蘭縣壯圍鄉古亭村古亭路81號
74DA38F20896	宜蘭縣縣立公館國小	[263]宜蘭縣壯圍鄉紅葉村69號
74DA38F2089C	宜蘭縣縣立過嶺國小	[263]宜蘭縣壯圍鄉過嶺村壯濱路三段261號
74DA38F2089A	宜蘭縣縣立大福國小	[263]宜蘭縣壯圍鄉大福村大福路一段62巷26號
